timestamp,open,high,low,close
2026-03-24 11:53:00,46392.43,46392.43,46356.75,46359.04
2026-03-24 11:54:00,46359.18,46369.96,46359.18,46359.92
2026-03-24 11:55:00,46359.94,46359.94,46316.64,46319.93
2026-03-24 11:56:00,46319.72,46324.31,46263.71,46268.04
2026-03-24 11:57:00,46268.26,46285.79,46252.38,46260.26
2026-03-24 11:58:00,46259.51,46272.41,46243.19,46269.07
2026-03-24 11:59:00,46269.38,46278.19,46263.03,46263.52
2026-03-24 12:00:00,46256.49,46265.86,46249.46,46251.97
2026-03-24 12:01:00,46252.09,46256.00,46232.44,46232.44
2026-03-24 12:02:00,46232.39,46241.04,46227.72,46239.07
2026-03-24 12:03:00,46239.07,46258.18,46237.74,46248.10
2026-03-24 12:04:00,46248.16,46256.41,46237.75,46238.21
2026-03-24 12:05:00,46238.68,46245.31,46226.57,46226.97
2026-03-24 12:06:00,46226.99,46230.45,46214.70,46230.45
2026-03-24 12:07:00,46230.42,46251.26,46225.32,46250.65
2026-03-24 12:08:00,46250.28,46250.68,46240.26,46243.34
2026-03-24 12:09:00,46242.91,46270.51,46242.91,46270.51
2026-03-24 12:10:00,46271.41,46281.21,46266.96,46280.47
2026-03-24 12:11:00,46281.81,46285.21,46269.00,46269.00
2026-03-24 12:12:00,46269.15,46290.06,46257.55,46281.62
2026-03-24 12:13:00,46281.10,46281.37,46262.65,46265.14
2026-03-24 12:14:00,46266.56,46287.68,46259.04,46287.68
2026-03-24 12:15:00,46287.26,46297.70,46274.61,46296.95
2026-03-24 12:16:00,46297.00,46328.92,46296.57,46328.62
2026-03-24 12:17:00,46329.08,46357.68,46329.08,46343.41
2026-03-24 12:18:00,46344.08,46344.08,46324.40,46325.06
2026-03-24 12:19:00,46325.58,46337.87,46322.41,46337.87
2026-03-24 12:20:00,46336.98,46336.98,46324.33,46328.10
2026-03-24 12:21:00,46327.85,46328.13,46304.33,46319.48
2026-03-24 12:22:00,46319.84,46343.27,46319.38,46342.51
2026-03-24 12:23:00,46342.16,46342.41,46337.00,46341.63
2026-03-24 12:24:00,46341.41,46341.65,46326.24,46331.88
2026-03-24 12:25:00,46331.99,46332.26,46318.38,46319.22
2026-03-24 12:26:00,46318.34,46332.41,46318.34,46323.53
2026-03-24 12:27:00,46323.09,46334.00,46307.51,46334.00
2026-03-24 12:28:00,46334.82,46339.63,46328.61,46334.49
2026-03-24 12:29:00,46334.45,46342.62,46327.87,46332.87
2026-03-24 12:30:00,46334.98,46350.67,46333.64,46334.94
2026-03-24 12:31:00,46335.77,46349.24,46335.77,46341.99
2026-03-24 12:32:00,46341.86,46345.98,46336.96,46344.44
2026-03-24 12:33:00,46343.84,46343.84,46315.64,46315.64
2026-03-24 12:34:00,46315.98,46324.19,46309.92,46317.23
2026-03-24 12:35:00,46312.76,46313.22,46262.19,46272.44
2026-03-24 12:36:00,46272.00,46281.25,46268.14,46270.69
2026-03-24 12:37:00,46270.71,46277.89,46249.57,46249.57
2026-03-24 12:38:00,46250.54,46250.54,46222.63,46249.04
2026-03-24 12:39:00,46248.13,46248.13,46223.85,46232.48
2026-03-24 12:40:00,46231.46,46245.37,46221.99,46240.01
2026-03-24 12:41:00,46236.35,46254.47,46231.89,46251.82
2026-03-24 12:42:00,46251.96,46268.30,46251.96,46265.92
2026-03-24 12:43:00,46265.96,46300.48,46265.96,46300.24
2026-03-24 12:44:00,46300.29,46308.47,46293.87,46308.47
2026-03-24 12:45:00,46309.22,46338.42,46309.22,46334.12
2026-03-24 12:46:00,46334.72,46338.10,46324.48,46324.48
2026-03-24 12:47:00,46324.44,46324.44,46310.59,46315.88
2026-03-24 12:48:00,46316.77,46316.77,46285.92,46286.04
2026-03-24 12:49:00,46286.06,46294.28,46274.92,46277.87
2026-03-24 12:50:00,46277.83,46298.95,46276.40,46293.00
2026-03-24 12:51:00,46292.69,46302.18,46291.62,46297.67
2026-03-24 12:52:00,46299.49,46313.74,46299.31,46313.50
2026-03-24 12:53:00,46312.98,46312.98,46293.38,46302.66
2026-03-24 12:54:00,46302.60,46305.03,46289.04,46289.04
2026-03-24 12:55:00,46288.95,46294.31,46246.83,46261.20
2026-03-24 12:56:00,46261.23,46307.37,46261.23,46305.65
2026-03-24 12:57:00,46305.80,46309.93,46280.07,46280.07
2026-03-24 12:58:00,46277.33,46292.10,46277.33,46286.17
2026-03-24 12:59:00,46286.70,46295.49,46284.71,46294.91
2026-03-24 13:00:00,46294.58,46304.32,46294.40,46302.32
2026-03-24 13:01:00,46302.29,46305.85,46298.01,46303.68
2026-03-24 13:02:00,46302.82,46302.82,46259.03,46260.10
2026-03-24 13:03:00,46258.64,46261.57,46210.04,46210.04
